t_ms,raw,volts,ohms
82700,3692.3,2.975,1091.0
82750,3693.1,2.976,1088.0
82800,3689.5,2.973,1099.0
82850,3684.6,2.969,1114.0
82900,3678.6,2.964,1132.0
82950,3673.7,2.96,1147.0
83000,3665.7,2.954,1171.0
83050,3661.0,2.95,1185.0
83100,3660.7,2.95,1186.0
83150,3654.7,2.945,1205.0
83200,3656.8,2.947,1198.0
83250,3655.8,2.946,1202.0
83300,3656.7,2.947,1199.0
83350,3657.6,2.947,1196.0
83400,3654.3,2.945,1206.0
83450,3645.8,2.938,1232.0
83500,3639.5,2.933,1252.0
83550,3641.0,2.934,1247.0
83600,3636.2,2.93,1262.0
83650,3642.1,2.935,1243.0
83700,3644.6,2.937,1236.0
83750,3645.5,2.938,1233.0
83800,3647.7,2.94,1226.0
83850,3650.4,2.942,1218.0
83900,3652.1,2.943,1213.0
83950,3655.8,2.946,1202.0
84000,3656.1,2.946,1201.0
84050,3657.4,2.947,1196.0
84100,3662.8,2.952,1180.0
84150,3664.0,2.953,1176.0
84200,3664.6,2.953,1175.0
84250,3664.8,2.953,1174.0
84300,3669.4,2.957,1160.0
84350,3672.3,2.959,1151.0
84400,3676.2,2.962,1139.0
84450,3676.1,2.962,1140.0
84500,3682.1,2.967,1121.0
84550,3682.6,2.968,1120.0
84600,3688.4,2.972,1102.0
84650,3687.3,2.971,1106.0
84700,3689.6,2.973,1099.0
84750,3688.3,2.972,1103.0
84800,3690.8,2.974,1095.0
84850,3691.2,2.975,1094.0
84900,3690.0,2.974,1098.0
84950,3692.8,2.976,1089.0
85000,3692.6,2.976,1090.0
85050,3694.5,2.977,1084.0
85100,3695.4,2.978,1081.0
85150,3694.8,2.977,1083.0
85200,3693.9,2.977,1086.0
85250,3695.2,2.978,1082.0
85300,3695.6,2.978,1081.0
85350,3695.3,2.978,1082.0
85400,3696.2,2.979,1079.0
85450,3694.5,2.977,1084.0
85500,3698.6,2.981,1072.0
85550,3695.1,2.978,1082.0
85600,3695.5,2.978,1081.0
85650,3697.8,2.98,1074.0
85700,3695.4,2.978,1081.0
85750,3693.8,2.977,1086.0
85800,3696.7,2.979,1077.0
85850,3695.4,2.978,1081.0
85900,3695.9,2.978,1080.0
85950,3694.3,2.977,1085.0
86000,3694.9,2.978,1083.0
86050,3696.4,2.979,1078.0
86100,3696.9,2.979,1077.0
86150,3696.1,2.979,1079.0
86200,3697.1,2.979,1076.0
86250,3698.4,2.98,1072.0
86300,3697.3,2.98,1076.0
86350,3697.6,2.98,1075.0
86400,3699.4,2.981,1069.0
86450,3702.3,2.983,1061.0
86500,3696.2,2.979,1079.0
86550,3699.3,2.981,1070.0
86600,3696.6,2.979,1078.0
86650,3697.9,2.98,1074.0
86700,3698.6,2.981,1072.0
86750,3699.3,2.981,1070.0
86800,3702.5,2.984,1060.0
86850,3697.1,2.979,1076.0
86900,3696.8,2.979,1077.0
86950,3695.9,2.978,1080.0
87000,3692.8,2.976,1089.0
87050,3689.4,2.973,1099.0
87100,3681.6,2.967,1123.0
87150,3673.8,2.961,1147.0
87200,3663.3,2.952,1178.0
87250,3656.6,2.947,1199.0
87300,3650.8,2.942,1217.0
87350,3654.3,2.945,1206.0
87400,3657.0,2.947,1198.0
87450,3659.4,2.949,1190.0
87500,3668.1,2.956,1164.0
87550,3675.3,2.962,1142.0
87600,3680.0,2.966,1128.0
87650,3683.4,2.968,1117.0
87700,3686.8,2.971,1107.0
87750,3687.6,2.972,1105.0
87800,3687.8,2.972,1104.0
87850,3691.2,2.975,1094.0
87900,3691.2,2.975,1094.0
87950,3690.4,2.974,1096.0
88000,3691.0,2.974,1095.0
88050,3690.8,2.974,1095.0
88100,3694.1,2.977,1085.0
88150,3692.8,2.976,1089.0
88200,3692.5,2.976,1090.0
88250,3694.5,2.977,1084.0
88300,3692.4,2.976,1090.0
88350,3693.7,2.977,1086.0
88400,3697.8,2.98,1074.0
88450,3694.6,2.977,1084.0
88500,3695.9,2.978,1080.0
88550,3698.8,2.981,1071.0
88600,3698.6,2.981,1072.0
88650,3698.3,2.98,1073.0
88700,3699.3,2.981,1070.0
88750,3699.1,2.981,1070.0
88800,3699.9,2.982,1068.0
88850,3700.6,2.982,1066.0
88900,3701.6,2.983,1063.0
88950,3702.1,2.983,1061.0
89000,3703.1,2.984,1058.0
89050,3701.3,2.983,1064.0
89100,3700.4,2.982,1066.0
89150,3700.4,2.982,1066.0
89200,3702.9,2.984,1059.0
89250,3704.1,2.985,1055.0
89300,3703.1,2.984,1058.0
89350,3700.1,2.982,1067.0
89400,3703.2,2.984,1058.0
89450,3702.0,2.983,1062.0
89500,3703.8,2.985,1056.0
89550,3703.9,2.985,1056.0
89600,3705.0,2.986,1053.0
89650,3700.8,2.982,1065.0
89700,3700.4,2.982,1066.0
89750,3700.7,2.982,1066.0
89800,3702.9,2.984,1059.0
89850,3702.8,2.984,1059.0
89900,3701.8,2.983,1062.0
89950,3701.4,2.983,1063.0
90000,3705.0,2.986,1053.0
90050,3705.3,2.986,1052.0
90100,3705.1,2.986,1052.0
90150,3707.4,2.988,1046.0
90200,3707.5,2.988,1045.0
90250,3706.3,2.987,1049.0
90300,3705.3,2.986,1052.0
90350,3708.1,2.988,1043.0
90400,3704.2,2.985,1055.0
90450,3703.7,2.985,1057.0
90500,3706.5,2.987,1048.0
90550,3703.4,2.984,1057.0
90600,3705.8,2.986,1050.0
90650,3705.8,2.986,1050.0
90700,3707.3,2.988,1046.0
90750,3708.1,2.988,1044.0
90800,3705.1,2.986,1052.0
90850,3705.7,2.986,1051.0
90900,3706.1,2.987,1049.0
90950,3706.0,2.987,1050.0
91000,3707.3,2.988,1046.0
91050,3705.9,2.986,1050.0
91100,3703.9,2.985,1056.0
91150,3708.9,2.989,1041.0
91200,3705.9,2.986,1050.0
91250,3708.9,2.989,1041.0
91300,3707.7,2.988,1045.0
91350,3707.3,2.988,1046.0
91400,3708.1,2.988,1044.0
91450,3707.1,2.987,1046.0
91500,3707.9,2.988,1044.0
91550,3709.5,2.989,1039.0
91600,3707.8,2.988,1044.0
91650,3709.9,2.99,1038.0
91700,3708.3,2.988,1043.0
91750,3710.9,2.99,1035.0
91800,3707.6,2.988,1045.0
91850,3708.8,2.989,1041.0
91900,3711.6,2.991,1033.0
91950,3710.7,2.99,1036.0
92000,3708.6,2.989,1042.0
92050,3709.4,2.989,1039.0
92100,3708.3,2.988,1043.0
92150,3708.3,2.988,1043.0
92200,3708.3,2.988,1043.0
92250,3708.9,2.989,1041.0
92300,3710.1,2.99,1038.0
92350,3708.2,2.988,1043.0
92400,3707.7,2.988,1045.0
92450,3709.1,2.989,1040.0
92500,3710.6,2.99,1036.0
92550,3710.7,2.99,1036.0
92600,3711.1,2.991,1034.0
92650,3713.0,2.992,1029.0
92700,3712.1,2.991,1032.0
92750,3709.7,2.989,1039.0
92800,3711.8,2.991,1033.0
92850,3709.2,2.989,1040.0
92900,3710.9,2.99,1035.0
92950,3709.2,2.989,1040.0
93000,3713.6,2.993,1027.0
93050,3711.9,2.991,1032.0
93100,3710.9,2.99,1035.0
93150,3710.6,2.99,1036.0
93200,3711.1,2.991,1035.0
93250,3710.6,2.99,1036.0
93300,3711.3,2.991,1034.0
93350,3711.7,2.991,1033.0
93400,3713.1,2.992,1029.0
93450,3714.3,2.993,1025.0
93500,3712.2,2.992,1031.0
93550,3712.0,2.991,1032.0
93600,3710.3,2.99,1037.0
93650,3712.6,2.992,1030.0
93700,3710.2,2.99,1037.0
93750,3713.3,2.992,1028.0
93800,3711.4,2.991,1034.0
93850,3714.6,2.993,1024.0
93900,3711.3,2.991,1034.0
93950,3714.3,2.993,1025.0
94000,3716.4,2.995,1019.0
94050,3714.8,2.994,1024.0
94100,3713.5,2.993,1027.0
94150,3714.5,2.993,1024.0
94200,3713.4,2.992,1028.0
94250,3714.9,2.994,1023.0
94300,3710.7,2.99,1036.0
94350,3708.6,2.989,1042.0
94400,3715.1,2.994,1023.0
94450,3713.4,2.992,1028.0
94500,3713.3,2.992,1028.0
94550,3715.7,2.994,1021.0
94600,3710.8,2.99,1035.0
94650,3718.4,2.997,1013.0
94700,3715.5,2.994,1021.0
94750,3715.4,2.994,1022.0
94800,3715.3,2.994,1022.0
94850,3715.3,2.994,1022.0
94900,3712.5,2.992,1030.0
94950,3711.1,2.991,1034.0
95000,3708.1,2.988,1044.0
95050,3708.5,2.989,1042.0
95100,3708.9,2.989,1041.0
95150,3709.0,2.989,1041.0
95200,3710.6,2.99,1036.0
95250,3711.6,2.991,1033.0
95300,3708.9,2.989,1041.0
95350,3708.5,2.989,1042.0
95400,3708.1,2.988,1043.0
95450,3710.1,2.99,1038.0
95500,3712.5,2.992,1030.0
95550,3706.6,2.987,1048.0
95600,3709.2,2.989,1040.0
95650,3709.2,2.989,1040.0
95700,3712.0,2.991,1032.0
95750,3713.6,2.993,1027.0
95800,3711.9,2.991,1032.0
95850,3712.3,2.992,1031.0
95900,3710.3,2.99,1037.0
95950,3713.8,2.993,1026.0
96000,3712.6,2.992,1030.0
96050,3711.4,2.991,1033.0
96100,3711.8,2.991,1032.0
96150,3714.3,2.993,1025.0
96200,3712.3,2.992,1031.0
96250,3713.2,2.992,1028.0
96300,3714.1,2.993,1026.0
96350,3710.1,2.99,1037.0
96400,3714.5,2.993,1024.0
96450,3708.9,2.989,1041.0
96500,3712.4,2.992,1030.0
96550,3714.3,2.993,1025.0
96600,3713.8,2.993,1026.0
96650,3714.1,2.993,1025.0
96700,3711.3,2.991,1034.0
96750,3711.6,2.991,1033.0
96800,3710.4,2.99,1036.0
96850,3710.6,2.99,1036.0
96900,3713.1,2.992,1028.0
96950,3714.2,2.993,1025.0
97000,3709.9,2.99,1038.0
97050,3716.0,2.995,1020.0
97100,3713.1,2.992,1028.0
97150,3713.8,2.993,1026.0
97200,3710.8,2.99,1036.0
97250,3711.8,2.991,1032.0
97300,3712.1,2.991,1032.0
97350,3712.2,2.992,1031.0
97400,3709.9,2.99,1038.0
97450,3708.1,2.988,1043.0
97500,3711.6,2.991,1033.0
97550,3714.4,2.993,1025.0
97600,3712.9,2.992,1029.0
97650,3714.0,2.993,1026.0
97700,3712.7,2.992,1030.0
97750,3713.5,2.993,1027.0
97800,3712.1,2.991,1032.0
97850,3713.4,2.993,1028.0
97900,3711.7,2.991,1033.0
97950,3713.7,2.993,1027.0
98000,3716.7,2.995,1018.0
98050,3713.9,2.993,1026.0
98100,3715.3,2.994,1022.0
98150,3715.8,2.994,1021.0
98200,3712.9,2.992,1029.0
98250,3713.6,2.993,1027.0
98300,3712.4,2.992,1030.0
98350,3714.0,2.993,1026.0
98400,3712.9,2.992,1029.0
98450,3713.5,2.993,1027.0
98500,3716.4,2.995,1019.0
98550,3711.6,2.991,1033.0
98600,3711.9,2.991,1032.0
98650,3711.3,2.991,1034.0
98700,3712.8,2.992,1030.0
98750,3716.5,2.995,1018.0
98800,3712.9,2.992,1029.0
98850,3710.3,2.99,1037.0
98900,3713.1,2.992,1029.0
98950,3712.2,2.992,1031.0
99000,3713.5,2.993,1027.0
99050,3713.8,2.993,1026.0
99100,3708.7,2.989,1042.0
99150,3713.6,2.993,1027.0
99200,3713.1,2.992,1029.0
99250,3712.5,2.992,1030.0
99300,3713.4,2.993,1028.0
99350,3714.6,2.993,1024.0
99400,3713.6,2.993,1027.0
99450,3715.3,2.994,1022.0
99500,3713.2,2.992,1028.0
99550,3713.9,2.993,1026.0
99600,3715.3,2.994,1022.0
99650,3713.9,2.993,1026.0
99700,3713.7,2.993,1027.0
99750,3710.9,2.99,1035.0
99800,3718.6,2.997,1012.0
99850,3714.6,2.993,1024.0
99900,3713.6,2.993,1027.0
99950,3715.2,2.994,1022.0
100000,3716.1,2.995,1020.0
100050,3717.9,2.996,1014.0
100100,3717.7,2.996,1015.0
100150,3716.2,2.995,1019.0
100200,3717.1,2.995,1017.0
100250,3716.3,2.995,1019.0
100300,3717.2,2.996,1016.0
100350,3717.1,2.995,1017.0
100400,3716.7,2.995,1018.0
