t_ms,raw,volts,ohms
49150,3789.2,3.054,807.0
49200,3793.0,3.057,796.0
49250,3787.1,3.052,813.0
49300,3783.9,3.049,822.0
49350,3787.4,3.052,812.0
49400,3791.9,3.056,799.0
49450,3788.1,3.053,810.0
49500,3787.8,3.052,811.0
49550,3784.1,3.049,822.0
49600,3779.6,3.046,835.0
49650,3781.5,3.047,829.0
49700,3763.0,3.032,882.0
49750,3774.3,3.042,850.0
49800,3774.2,3.041,850.0
49850,3762.5,3.032,884.0
49900,3768.7,3.037,866.0
49950,3773.1,3.041,853.0
50000,3766.8,3.036,871.0
50050,3767.0,3.036,871.0
50100,3715.7,2.994,1021.0
50150,3661.7,2.951,1183.0
50200,3601.5,2.902,1370.0
50250,3562.3,2.871,1496.0
50300,3547.9,2.859,1542.0
50350,3521.8,2.838,1628.0
50400,3502.9,2.823,1690.0
50450,3481.0,2.805,1764.0
50500,3466.2,2.793,1814.0
50550,3458.3,2.787,1841.0
50600,3453.9,2.783,1856.0
50650,3445.4,2.777,1885.0
50700,3448.1,2.779,1876.0
50750,3446.4,2.777,1882.0
50800,3441.6,2.773,1898.0
50850,3443.8,2.775,1891.0
50900,3445.2,2.776,1886.0
50950,3446.9,2.778,1880.0
51000,3446.8,2.778,1881.0
51050,3447.1,2.778,1879.0
51100,3444.8,2.776,1888.0
51150,3446.8,2.778,1881.0
51200,3445.4,2.777,1885.0
51250,3446.4,2.777,1882.0
51300,3445.2,2.776,1886.0
51350,3447.0,2.778,1880.0
51400,3445.1,2.776,1887.0
51450,3444.1,2.775,1890.0
51500,3448.2,2.779,1876.0
51550,3448.7,2.779,1874.0
51600,3449.5,2.78,1871.0
51650,3446.4,2.777,1882.0
51700,3448.4,2.779,1875.0
51750,3448.9,2.779,1873.0
51800,3450.5,2.781,1868.0
51850,3448.8,2.779,1874.0
51900,3448.9,2.779,1873.0
51950,3449.8,2.78,1870.0
52000,3451.9,2.782,1863.0
52050,3452.0,2.782,1863.0
52100,3450.6,2.781,1867.0
52150,3449.9,2.78,1870.0
52200,3449.7,2.78,1871.0
52250,3451.6,2.782,1864.0
52300,3450.6,2.781,1868.0
52350,3450.7,2.781,1867.0
52400,3454.6,2.784,1854.0
52450,3452.1,2.782,1862.0
52500,3451.3,2.781,1865.0
52550,3453.0,2.783,1859.0
52600,3452.3,2.782,1862.0
52650,3452.1,2.782,1862.0
52700,3452.4,2.782,1861.0
52750,3451.4,2.781,1865.0
52800,3450.6,2.781,1868.0
